Start Time : Do 9. Jan 18:15:49 CET 2025
Job ID: 458662
Node: cc2g04
Partition: gpu_normal_stud
CPU cores: 8
GPUs: 0
Memory: 65536
Python environment: amlg_env              *  /home/phamanh/anaconda3/envs/amlg_env
current work directory: /home/phamanh/nobackup/scrnaseq-ml

[I 2025-01-09 18:15:53,896] A new study created in memory with name: no-name-fdc5083e-2711-42f8-8264-9400cd985738
[I 2025-01-09 18:15:59,954] Trial 0 finished with value: 0.732927925050257 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 0 with value: 0.732927925050257.
[I 2025-01-09 18:41:49,388] Trial 105 finished with value: 0.751819613262576 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:42:01,970] Trial 106 finished with value: 0.7471317051893875 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:42:13,591] Trial 107 finished with value: 0.7453125447465446 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:42:24,896] Trial 108 finished with value: 0.6940250313853029 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:42:30,538] Trial 109 finished with value: 0.7349570225119942 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:42:53,753] Trial 110 finished with value: 0.7472015862887164 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:43:00,174] Trial 111 finished with value: 0.7525892599481436 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:43:27,903] Trial 112 finished with value: 0.706199934353377 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:43:46,512] Trial 113 finished with value: 0.7479714043114802 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:44:12,434] Trial 114 finished with value: 0.7446821217713036 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:44:18,870] Trial 115 finished with value: 0.7515404560163955 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:44:40,486] Trial 116 finished with value: 0.7519591306938105 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:44:46,543] Trial 117 finished with value: 0.7516092846158046 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:45:00,416] Trial 118 finished with value: 0.6915058850655402 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:45:05,915] Trial 119 finished with value: 0.753219487109446 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:45:19,473] Trial 120 finished with value: 0.6897566301987682 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:45:24,701] Trial 121 finished with value: 0.6651271040513659 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:45:30,255] Trial 122 finished with value: 0.750070505256258 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:45:44,480] Trial 123 finished with value: 0.7489506942950342 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:45:58,763] Trial 124 finished with value: 0.7490210159757249 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:46:10,155] Trial 125 finished with value: 0.7476211666055972 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:46:16,656] Trial 126 finished with value: 0.7343978023801674 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:46:27,981] Trial 127 finished with value: 0.6954240974996763 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:46:34,009] Trial 128 finished with value: 0.750979889663741 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:46:57,236] Trial 129 finished with value: 0.7483208098081244 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:47:03,325] Trial 130 finished with value: 0.7366363228492103 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:47:17,345] Trial 131 finished with value: 0.6863979805708516 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:47:29,853] Trial 132 finished with value: 0.6894770568479683 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:47:41,582] Trial 133 finished with value: 0.7523091236322703 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:47:53,958] Trial 134 finished with value: 0.694024811094622 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:48:05,974] Trial 135 finished with value: 0.750770050551816 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:48:18,755] Trial 136 finished with value: 0.7495806032586866 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:48:24,830] Trial 137 finished with value: 0.7306192297609773 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:48:30,077] Trial 138 finished with value: 0.6682755963697075 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:48:42,572] Trial 139 finished with value: 0.6938147761687583 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:48:55,203] Trial 140 finished with value: 0.6900367665146416 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:49:05,700] Trial 141 finished with value: 0.7434231850067224 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:49:28,293] Trial 142 finished with value: 0.7470615793226355 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:49:49,641] Trial 143 finished with value: 0.7469916982233067 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:49:55,281] Trial 144 finished with value: 0.662887751373084 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:50:14,225] Trial 145 finished with value: 0.7476211910823395 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:50:19,850] Trial 146 finished with value: 0.7507698547378773 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:50:44,488] Trial 147 finished with value: 0.7067596440200504 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:51:09,524] Trial 148 finished with value: 0.7492306592737114 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:51:15,036] Trial 149 finished with value: 0.7527297319723285 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:51:30,589] Trial 150 finished with value: 0.7464309605334558 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:52:00,238] Trial 151 finished with value: 0.7086485631785105 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:52:25,859] Trial 152 finished with value: 0.7433533039073937 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:52:46,288] Trial 153 finished with value: 0.7491608271278671 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:53:05,568] Trial 154 finished with value: 0.7512595853982524 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:53:10,432] Trial 155 finished with value: 0.6684155543823037 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:53:20,960] Trial 156 finished with value: 0.7493705928095653 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:53:26,208] Trial 157 finished with value: 0.6672261560426591 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:53:38,641] Trial 158 finished with value: 0.7453121041651827 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:53:52,673] Trial 159 finished with value: 0.7506995820106714 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:53:58,783] Trial 160 finished with value: 0.7369864136946394 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:54:12,362] Trial 161 finished with value: 0.7455927055391602 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:54:25,968] Trial 162 finished with value: 0.7482512713831879 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:54:32,057] Trial 163 finished with value: 0.734607519108381 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:54:44,399] Trial 164 finished with value: 0.6933950245146813 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:55:15,466] Trial 165 finished with value: 0.7493004914195556 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:55:26,420] Trial 166 finished with value: 0.6940948880078893 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:55:39,289] Trial 167 finished with value: 0.7452426146937311 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:56:03,751] Trial 168 finished with value: 0.7074588955947003 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:56:09,136] Trial 169 finished with value: 0.7300591774199116 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:56:14,366] Trial 170 finished with value: 0.7492306837504538 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:56:19,981] Trial 171 finished with value: 0.6616987691380588 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:56:31,101] Trial 172 finished with value: 0.7497905158008387 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:56:35,979] Trial 173 finished with value: 0.6672261560426591 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:56:48,231] Trial 174 finished with value: 0.747830907810553 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:57:02,307] Trial 175 finished with value: 0.7506297988183117 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:57:13,036] Trial 176 finished with value: 0.7500002814825366 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:57:35,340] Trial 177 finished with value: 0.7066196615307119 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:57:56,744] Trial 178 finished with value: 0.7492307571806807 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:58:22,866] Trial 179 finished with value: 0.7494405228623788 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:58:33,591] Trial 180 finished with value: 0.6938850244192218 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:58:44,980] Trial 181 finished with value: 0.7451022650532577 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:59:07,731] Trial 182 finished with value: 0.7485305999665648 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:59:28,649] Trial 183 finished with value: 0.7458021040697236 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:59:34,241] Trial 184 finished with value: 0.6583400705566573 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 18:59:58,625] Trial 185 finished with value: 0.7034710957821433 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:00:28,041] Trial 186 finished with value: 0.7413235945270984 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:00:33,256] Trial 187 finished with value: 0.7337677710328036 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:00:38,486] Trial 188 finished with value: 0.7334177536176014 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:01:05,398] Trial 189 finished with value: 0.7057799868853614 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:01:11,054] Trial 190 finished with value: 0.7362166446253603 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:01:16,680] Trial 191 finished with value: 0.6623984368173284 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:01:27,821] Trial 192 finished with value: 0.7505596729515597 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:01:33,023] Trial 193 finished with value: 0.7331379354993782 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:01:47,202] Trial 194 finished with value: 0.7478316665895649 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:02:16,070] Trial 195 finished with value: 0.7475514078899799 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:02:47,820] Trial 196 finished with value: 0.6956343527162208 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:03:13,960] Trial 197 finished with value: 0.7434233808206611 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:03:27,588] Trial 198 finished with value: 0.7462217578168312 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:03:32,813] Trial 199 finished with value: 0.7305489815105137 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:03:38,421] Trial 200 finished with value: 0.658480053045996 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:03:44,002] Trial 201 finished with value: 0.7529392773633458 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:03:57,871] Trial 202 finished with value: 0.7438431814282229 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:04:09,434] Trial 203 finished with value: 0.7453120307349558 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:04:14,644] Trial 204 finished with value: 0.7308291423031293 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:04:27,456] Trial 205 finished with value: 0.6914359550127267 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:04:55,251] Trial 206 finished with value: 0.7077388850501197 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:05:00,495] Trial 207 finished with value: 0.6632375729743477 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:05:22,104] Trial 208 finished with value: 0.749720267550375 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:05:35,490] Trial 209 finished with value: 0.6900365951774454 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:05:51,595] Trial 210 finished with value: 0.7502099492572655 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
